Западная улица, 970 кв. 430, Омск, Россия, 815622
пл. Вокзальная, 625 кв. 109, Тула, Россия, 639905
Зеленая проспект, 927 кв. 483, Ярославль, Россия, 132677
ул. Дачная, 415 кв. 927, Сочи, Россия, 162192
Трактовая площадь, 671 кв. 796, Чебоксары, Россия, 746173
Клубная пр., 778 кв. 129, Ижевск, Россия, 481219
пл. Садовый, 793 кв. 410, Хабаровск, Россия, 630182
Куйбышева ул., 418 кв. 542, Пенза, Россия, 459522
Суворова площадь, 746 кв. 442, Рязань, Россия, 135384
Чапаева пл., 915 кв. 269, Тольятти, Россия, 992833
Западная пл., 574 кв. 761, Рязань, Россия, 529038
пр. Железнодорожная, 637 кв. 364, Тюмень, Россия, 247614
Садовый ул., 217 кв. 497, Ставрополь, Россия, 938252
Карла Маркса улица, 763 кв. 672, Воронеж, Россия, 301298
улица Партизанская, 803 кв. 971, Астрахань, Россия, 573242
пр. Московская, 641 кв. 504, Кемерово, Россия, 651788
Ломоносова улица, 257 кв. 591, Саратов, Россия, 553158
площадь Почтовая, 414 кв. 113, Санкт-Петербург, Россия, 398652
площадь Фрунзе, 130 кв. 984, Ульяновск, Россия, 841662
улица Шоссейная, 374 кв. 810, Сочи, Россия, 632265
площадь Строителей, 783 кв. 635, Краснодар, Россия, 577566
Трудовая проспект, 549 кв. 724, Кемерово, Россия, 526007
Космонавтов ул., 174 кв. 747, Магнитогорск, Россия, 682445
Победы пр., 924 кв. 405, Новокузнецк, Россия, 699627
проспект Луговая, 394 кв. 237, Томск, Россия, 971856
площадь Свободы, 105 кв. 331, Красноярск, Россия, 736911
Первомайская пр., 442 кв. 160, Тверь, Россия, 489921
Красная проспект, 389 кв. 788, Хабаровск, Россия, 525099
Новая пр., 765 кв. 745, Пенза, Россия, 363465
ул. Садовая, 830 кв. 840, Новосибирск, Россия, 501246
пл. Кирова, 872 кв. 899, Брянск, Россия, 277793
ул. Дружбы, 925 кв. 871, Пермь, Россия, 152930
проспект Энергетиков, 696 кв. 109, Белгород, Россия, 252906
Островского пр., 126 кв. 717, Ставрополь, Россия, 482803
Маяковского улица, 473 кв. 458, Ярославль, Россия, 831309
ул. Почтовая, 501 кв. 918, Краснодар, Россия, 162696
пл. Дзержинского, 755 кв. 562, Магнитогорск, Россия, 630157
Дружбы улица, 210 кв. 909, Омск, Россия, 344208
улица Кирова, 724 кв. 571, Магнитогорск, Россия, 599680
проспект Заводская, 804 кв. 631, Липецк, Россия, 826987
ул. Южная, 606 кв. 255, Нижний Новгород, Россия, 754040
Подгорная ул., 430 кв. 165, Новосибирск, Россия, 514836
Механизаторов пл., 786 кв. 941, Пенза, Россия, 890217
Свердлова пр., 608 кв. 212, Владивосток, Россия, 390664
площадь Школьный, 371 кв. 554, Тверь, Россия, 301418
Московская пл., 336 кв. 713, Магнитогорск, Россия, 757445
Красная пр., 244 кв. 727, Оренбург, Россия, 338370
Пионерская проспект, 548 кв. 693, Владимир, Россия, 515317
Красноармейская проспект, 358 кв. 842, Ярославль, Россия, 999928
улица 40 лет Победы, 957 кв. 818, Ярославль, Россия, 852142
проспект Весенняя, 575 кв. 617, Саратов, Россия, 499316
улица Березовая, 698 кв. 631, Киров, Россия, 998512
Горная проспект, 250 кв. 853, Владивосток, Россия, 401016
ул. Свердлова, 952 кв. 561, Ульяновск, Россия, 956449
проспект Космонавтов, 269 кв. 218, Барнаул, Россия, 988614
Шоссейная ул., 936 кв. 841, Владимир, Россия, 475220
Интернациональная пр., 360 кв. 298, Барнаул, Россия, 529047
Партизанская ул., 179 кв. 767, Кемерово, Россия, 253945
площадь Полевая, 183 кв. 609, Воронеж, Россия, 167544
пр. Энергетиков, 901 кв. 228, Челябинск, Россия, 377559
пл. Красная, 369 кв. 667, Белгород, Россия, 279891
ул. Садовая, 997 кв. 814, Ульяновск, Россия, 930464
Рабочая проспект, 654 кв. 278, Астрахань, Россия, 583459
улица Садовый, 996 кв. 105, Уфа, Россия, 770001
Кирова улица, 116 кв. 467, Санкт-Петербург, Россия, 924376
пр. Комсомольская, 192 кв. 326, Тольятти, Россия, 308314
площадь Школьная, 882 кв. 128, Астрахань, Россия, 186813
площадь Красная, 877 кв. 232, Владимир, Россия, 294780
ул. Набережная, 217 кв. 763, Челябинск, Россия, 215751
Мира проспект, 526 кв. 330, Чебоксары, Россия, 643932
площадь Островского, 600 кв. 144, Ульяновск, Россия, 404540
Береговая ул., 358 кв. 371, Барнаул, Россия, 713952
ул. Озерная, 467 кв. 557, Иркутск, Россия, 568626
пр. Пушкина, 154 кв. 827, Уфа, Россия, 838055
пл. Мира, 914 кв. 138, Москва, Россия, 498460
улица Строительная, 831 кв. 463, Барнаул, Россия, 430908
улица Чехова, 932 кв. 335, Казань, Россия, 893193
Гагарина пл., 157 кв. 758, Томск, Россия, 452235
Октябрьская ул., 279 кв. 719, Красноярск, Россия, 909743
проспект Совхозная, 820 кв. 644, Пермь, Россия, 633177
Озерная пр., 947 кв. 200, Новокузнецк, Россия, 974605
проспект Мичурина, 377 кв. 325, Тольятти, Россия, 516054
Почтовая пл., 161 кв. 591, Ижевск, Россия, 175791
Красноармейская пл., 988 кв. 290, Астрахань, Россия, 183655
Заречная площадь, 396 кв. 470, Новосибирск, Россия, 516177
пр. Рабочая, 409 кв. 612, Астрахань, Россия, 288116
пр. Красноармейская, 688 кв. 632, Кемерово, Россия, 196659
пл. Дружбы, 223 кв. 669, Ульяновск, Россия, 872793
Горная площадь, 606 кв. 342, Ижевск, Россия, 106016
пл. Степная, 440 кв. 554, Уфа, Россия, 812934
площадь Береговая, 816 кв. 791, Магнитогорск, Россия, 823648
Гоголя пл., 570 кв. 947, Пермь, Россия, 303523
Набережная ул., 994 кв. 749, Санкт-Петербург, Россия, 164127
Заводская пр., 477 кв. 833, Волгоград, Россия, 443754
улица Энергетиков, 117 кв. 288, Тула, Россия, 660829
